Date,Delta_dir,Open_price,Close_price,Transaction
2017-09-18,1,25.35,25.666668,no_trade
2017-09-19,0,25.333332,25.006666,no_trade
2017-09-20,1,24.866667,24.927334,no_trade
2017-09-21,0,24.993334,24.431999,no_trade
2017-09-22,0,24.432667,23.406,no_trade
2017-09-25,0,23.543333,22.999332,no_trade
2017-09-26,0,23.395332,23.016666,no_trade
2017-09-27,0,23.326668,22.731333,no_trade
2017-09-28,0,22.658667,22.639999,no_trade
2017-09-29,0,22.790667,22.74,no_trade
2017-10-02,0,22.834667,22.768667,no_trade
2017-10-03,1,22.393333,23.209333,no_trade
2017-10-04,1,23.416668,23.667334,no_trade
2017-10-05,0,23.733334,23.688667,no_trade
2017-10-06,1,23.540001,23.792,no_trade
2017-10-09,0,23.309999,22.862667,no_trade
2017-10-10,1,23.120001,23.705999,no_trade
2017-10-11,1,23.592667,23.639999,no_trade
2017-10-12,1,23.530001,23.712,no_trade
2017-10-13,0,23.798668,23.704666,no_trade
2017-10-16,0,23.584,23.373333,no_trade
2017-10-17,1,23.393999,23.716667,no_trade
2017-10-18,1,23.731333,23.976667,no_trade
2017-10-19,0,23.704,23.454,no_trade
2017-10-20,0,23.512667,23.006666,no_trade
2017-10-23,0,23.325333,22.468,no_trade
2017-10-24,0,22.586666,22.489332,no_trade
2017-10-25,0,22.446667,21.722668,no_trade
2017-10-26,0,21.851999,21.744667,no_trade
2017-10-27,1,21.316668,21.391333,no_trade
2017-10-30,1,21.278667,21.338667,no_trade
2017-10-31,1,21.348667,22.101999,no_trade
2017-11-01,0,22.15,21.405333,no_trade
2017-11-02,0,20.008667,19.950666,no_trade
2017-11-03,1,19.966667,20.406,no_trade
2017-11-06,0,20.466667,20.185333,no_trade
2017-11-07,1,20.068001,20.403334,no_trade
2017-11-08,0,20.366667,20.292667,no_trade
2017-11-09,1,20.166668,20.199333,no_trade
2017-11-10,1,20.166668,20.199333,no_trade
2017-11-13,1,20.008667,21.026667,no_trade
2017-11-14,0,21.0,20.58,no_trade
2017-11-15,1,20.400667,20.753332,no_trade
2017-11-16,0,20.932667,20.833332,no_trade
2017-11-17,0,21.711332,21.003332,no_trade
2017-11-20,0,20.919333,20.582666,no_trade
2017-11-21,1,20.724001,21.187332,no_trade
2017-11-22,0,21.118,20.84,no_trade
2017-11-24,1,20.919333,21.036667,no_trade
2017-11-27,1,20.883333,21.120667,no_trade
2017-11-28,1,21.090668,21.17,no_trade
2017-11-29,0,21.153334,20.502666,no_trade
2017-11-30,1,20.570667,20.59,no_trade
2017-12-01,1,20.362667,20.435333,no_trade
2017-12-04,0,20.433332,20.346666,no_trade
2017-12-05,1,20.133333,20.246668,no_trade
2017-12-06,1,20.006666,20.884001,no_trade
2017-12-07,0,20.799999,20.749332,no_trade
2017-12-08,1,20.973333,21.008667,no_trade
2017-12-11,1,20.975332,21.927334,no_trade
2017-12-12,1,22.030001,22.735332,no_trade
2017-12-13,0,22.728666,22.601999,no_trade
2017-12-14,0,22.733999,22.525999,no_trade
2017-12-15,1,22.802668,22.896667,no_trade
2017-12-18,0,22.993334,22.591333,no_trade
2017-12-19,0,22.684,22.073334,no_trade
2017-12-20,0,22.179333,21.931999,no_trade
2017-12-21,1,21.972668,22.110666,no_trade
2017-12-22,0,21.967333,21.68,no_trade
