id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1571148447444783105,Elon Musk,,,2009-06-02 20:12:29+00:00,106941133,122,14212,TRUE,2022-09-17,@user @user It will be later this year when laser links activate on polar constellation,,Twitter for iPhone,183,2803,FALSE
1570952805833379840,Elon Musk,,,2009-06-02 20:12:29+00:00,106941133,122,14212,TRUE,2022-09-17,Starlink is meant for peaceful use only,,Twitter for iPhone,12957,224195,FALSE
1570886951259238401,Elon Musk,,,2009-06-02 20:12:29+00:00,106941133,122,14212,TRUE,2022-09-16,@user @user Is it really true that four-year-olds are receiving hormone treatment?,,Twitter for iPhone,2901,33273,FALSE
1570886136930922496,Elon Musk,,,2009-06-02 20:12:29+00:00,106941133,122,14212,TRUE,2022-09-16,"@user @user Technically true, but Earth’s economy is extremely far from physical limits. 

Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",,Twitter for iPhone,828,10256,FALSE
1571550634326777856,Elon Musk,,,2009-06-02 20:12:29+00:00,107075039,122,14219,TRUE,2022-09-18,@user @user @user True,,Twitter for iPhone,169,3190,FALSE
1571540353978859526,Elon Musk,,,2009-06-02 20:12:29+00:00,107075039,122,14219,TRUE,2022-09-18,"@user @user Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.

Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",,Twitter for iPhone,1396,17730,FALSE
1571346394811711488,Elon Musk,,,2009-06-02 20:12:29+00:00,107075039,122,14219,TRUE,2022-09-18,"@user Should be Alexander, the Greatest. After all, is there a better Alexander?",,Twitter for iPhone,246,5636,FALSE
1571922160226271238,Elon Musk,,,2009-06-02 20:12:29+00:00,107141692,122,14231,TRUE,2022-09-19,@user Chamber pressure looked good on all 7 engines,,Twitter for iPhone,772,17615,FALSE
1571910631971758081,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,"@user Yes, seven engine static fire",,Twitter for iPhone,540,10181,FALSE
1571910415801516033,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,@user @user @user There is too much latency in Fed decisions. Problematic in a fast-changing world.,,Twitter for iPhone,303,3635,FALSE
1571898966731530240,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,@user Tunnels ftw,,Twitter for iPhone,343,7672,FALSE
1571880816468439040,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,"@user Yes, the fundamental error is reasoning by analogy, rather than first principles",,Twitter for iPhone,1024,13503,FALSE
1571748448591814657,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,"starry, starry night 
paint your palette
blue and gray http",,Twitter for iPhone,15514,209221,FALSE
1571702286854004736,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",,Twitter for iPhone,13227,118568,FALSE
1571695462377263104,Elon Musk,,,2009-06-02 20:12:29+00:00,107141668,122,14231,TRUE,2022-09-19,@user Another batch with lasers reaches orbit,,Twitter for iPhone,1487,37409,FALSE
1572420037834690560,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user .@Twitter what’s going on?,,Twitter for iPhone,110,1488,FALSE
1572419769940447232,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user @user Such miracles are impossible,,Twitter for iPhone,267,8072,FALSE
1572417881983549441,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user @user @user @user @user @user That’s a real picture?,,Twitter for iPhone,67,1978,FALSE
1572417733865926660,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user @user @user @user @user Absolutely,,Twitter for iPhone,87,2270,FALSE
1572416922360184832,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,"@user @user Unsurprisingly, Reich is also a hypocrite",,Twitter for iPhone,136,2377,FALSE
1572415723846406151,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user @user Reich is suicidally boring,,Twitter for iPhone,652,12528,FALSE
1572414455681814528,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user You both an idiot and a liar,,Twitter for iPhone,5017,55611,FALSE
1572396742267609090,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-21,@user @user @user Curiouser and curiouser …,,Twitter for iPhone,457,10169,FALSE
1572264954727890949,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-20,@user @user Same,,Twitter for iPhone,211,4606,FALSE
1572206530614947840,Elon Musk,,,2009-06-02 20:12:29+00:00,107238391,122,14236,TRUE,2022-09-20,"@user @user Happy birthday bro, love you",,Twitter for iPhone,535,15319,FALSE
1572091244796329987,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-20,"@user @user Yes, all US &amp; Canada cars with safety scores above 80 should receive an invitation to download FSD Beta by tomorrow",,Twitter for iPhone,328,3397,FALSE
1572090491050799107,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-20,"@user @user Note, Autopilot/AI team is also working on Optimus and (actually smart) summon/autopark, which have end of month deadlines",,Twitter for iPhone,524,5911,FALSE
1572090022156705792,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-20,@user @user Next month,,Twitter for iPhone,135,2971,FALSE
1571988764947320832,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,@user Starlink will ask for an exemption to Iranian sanctions in this regard,,Twitter for iPhone,13323,56889,FALSE
1571988325053116418,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,@user @user Looking forward to providing Starlink service to the people of Zambia!,,Twitter for iPhone,2732,28459,FALSE
1571983721024086018,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,@user @user Car will move on tighter gaps as we enhance NN velocity predictions for crossing traffic. 10.69.3 next month has some step-change improvements.,,Twitter for iPhone,374,7102,FALSE
1571966834659794947,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",,Twitter for iPhone,3439,45807,FALSE
1571966300892856320,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,@user Profoundly important concept,,Twitter for iPhone,344,7784,FALSE
1571936169801179138,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,Great for clearing dust!,,Twitter for iPhone,2728,60494,FALSE
1571935414448963586,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,"@user @user Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.

Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",,Twitter for iPhone,941,11153,FALSE
1571929797185667072,Elon Musk,,,2009-06-02 20:12:29+00:00,107238392,122,14236,TRUE,2022-09-19,7 engine static fire http,,Twitter for iPhone,10726,138448,FALSE
1572693484213272580,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user @user Shaded patio,,Twitter for iPhone,177,6670,FALSE
1572693048433479680,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,"@user Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)",,Twitter for iPhone,2343,61298,FALSE
1572692745633808384,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user Aka cogency,,Twitter for iPhone,199,4390,FALSE
1572632382561484800,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user Looks awesome 😎,,Twitter for iPhone,800,29410,FALSE
1572620091396878338,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user @user Maybe little electric Tesla boats with a retro-futuristic Victorian design,,Twitter for iPhone,346,4938,FALSE
1572619068347404288,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,"@user Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",,Twitter for iPhone,268,4460,FALSE
